doi,oa_type,is_oa,title,published_date,published_year,genre,journal_is_in_doaj,journal_issns,journal_name,publisher,repositories,scientific_field
10.1007/978-3-030-35653-8_29,closed,False,Enforcing Access Controls in IoT Networks,2019-01-01,2019.0,book-chapter,False,"0302-9743,1611-3349",Lecture Notes in Computer Science,Springer International Publishing,,"Computer and 
 information sciences"
10.1007/978-3-030-30645-8_22,repository,True,View-Invariant Pose Analysis for Human Movement Assessment from RGB Data,2019-01-01,2019.0,book-chapter,False,"0302-9743,1611-3349",Image Analysis and Processing – ICIAP 2019,Springer International Publishing,HAL,"Computer and 
 information sciences"
10.1007/978-3-030-30048-7_6,repository,True,Towards the Characterization of Max-Resolution Transformations of UCSs by UP-Resilience,2019-01-01,2019.0,book-chapter,False,"0302-9743,1611-3349",Principles and Practice of Constraint Programming,Springer International Publishing,HAL,"Computer and 
 information sciences"
10.1007/978-3-030-29888-3_13,repository,True,Volumes of Blurred-Invariant Gaussians for Dynamic Texture Classification,2019-01-01,2019.0,book-chapter,False,"0302-9743,1611-3349",Lecture Notes in Computer Science,Springer International Publishing,HAL,"Computer and 
 information sciences"
10.1007/978-3-030-21500-2_4,repository,True,Reversibility vs Local Creation/Destruction,2019-01-01,2019.0,book-chapter,False,"0302-9743,1611-3349",Lecture Notes in Computer Science,Springer International Publishing,HAL;arxiv.org,"Computer and 
 information sciences"
10.1007/978-3-030-25540-4_33,publisher;repository,True,Robust Controller Synthesis in Timed Büchi Automata: A Symbolic Approach,2019-01-01,2019.0,book-chapter,False,"0302-9743,1611-3349",Lecture Notes in Computer Science,Springer International Publishing,HAL,"Computer and 
 information sciences"
10.1007/978-3-030-20521-8_52,repository,True,Visual Disambiguation of Prepositional Phrase Attachments: Multimodal Machine Learning for Syntactic Analysis Correction,2019-01-01,2019.0,book-chapter,False,"0302-9743,1611-3349",Lecture Notes in Computer Science,Springer International Publishing,HAL,"Computer and 
 information sciences"
10.1007/978-3-030-28577-7_29,repository,True,"Overview of LifeCLEF 2019: Identification of Amazonian Plants, South & North American Birds, and Niche Prediction",2019-01-01,2019.0,book-chapter,False,"0302-9743,1611-3349","Experimental IR Meets Multilinguality, Multimodality, and Interaction",Springer International Publishing,HAL,Medical research
10.1007/978-3-030-35514-2_16,repository,True,Assertional Removed Sets Merging of DL-Lite Knowledge Bases,2019-01-01,2019.0,book-chapter,False,"0302-9743,1611-3349",Scalable Uncertainty Management,Springer International Publishing,HAL,"Computer and 
 information sciences"
10.1007/978-3-030-25636-4_11,closed,False,Efficient Parallel Solvers for the FireStar3D Wildfire Numerical Simulation Model,2019-01-01,2019.0,book-chapter,False,"0302-9743,1611-3349",Parallel Computing Technologies,Springer International Publishing,,"Computer and 
 information sciences"
10.1007/978-3-030-25261-8_26,repository,True,Canards Existence in the Hindmarsh–Rose Model,2019-01-01,2019.0,book-chapter,False,"2297-0215,2297-024X",Extended Abstracts Spring 2018,Springer International Publishing,ddd.uab.cat,Mathematics
10.1007/978-3-030-35699-6_6,closed,False,Modelling and Optimisation of a RoboCup MSL Coilgun,2019-01-01,2019.0,book-chapter,False,"0302-9743,1611-3349",Lecture Notes in Computer Science,Springer International Publishing,,"Computer and 
 information sciences"
10.1007/978-3-030-03436-8_2,closed,False,Through the Looking-Glass: What Does Strategic Planning Reveal in French Local Governments?,2019-01-01,2019.0,book-chapter,False,"2524-728X,2524-7298",Governance and Public Management,Springer International Publishing,,Social sciences
10.1007/978-3-030-05876-0_4,closed,False,How Much Do You Suffer? The Performativity of Scientific Scales of Work-Related Suffering,2019-01-01,2019.0,book-chapter,False,,Stress and Suffering at Work,Springer International Publishing,,Humanities
